Population,North_Sea,Atlantic,Baltic,Eastern_Euro,West_Med,West_Asian,East_Med,Red_Sea,South_Asian,Southeast_Asian,Siberian,Amerindian,Oceanian,Northeast_African,Sub-Saharan
Abhkasian,3.11,3.01,3.08,2.89,4.25,57.83,18.64,2.36,2.62,0.73,0.81,0.27,0.24,0.11,0.06
Adygei,5.33,5.84,6.82,7.85,2.64,48.75,13.72,2.27,3.01,0.86,2.01,0.64,0.09,0.11,0.05
Afghan_Hazara,5.42,3.05,2.36,8.32,0.19,18.67,6.07,0.73,14.86,17.41,20.23,2.08,0.24,0.08,0.3
Afghan_Pashtun,7.21,2.94,2.58,12.28,0,32.65,8.3,0.49,27.3,1.04,3.12,1.19,0.31,0.05,0.53
Afghan_Tadjik,6.69,0.81,2.21,10.13,1.16,27.53,11.07,0.65,20.18,6.95,10.32,1.35,0.12,0.28,0.54
Afghan_Turkmen,5.96,3.18,4.34,12.09,1.54,18.62,8.3,0.19,8.87,10.33,23.88,1.28,0.61,0.21,0.6
Afghan_Uzbeki,5.64,1.41,3.12,10.13,0.44,26.13,11.81,1.45,20.86,7.11,10.35,0.75,0.35,0.21,0.25
Algerian,4.18,8.75,0.98,0.51,21.32,0.93,25.13,15.47,0.2,0.24,0.04,0.12,0.18,11.84,10.12
Algerian_Jewish,5.28,12.72,2.56,1.35,18.76,10.72,34.79,8.15,0.53,0.36,0.21,0,0.37,2.39,1.81
Altaian,2.97,1.94,2.03,10.94,0.52,4.57,0.56,0.34,3.2,21.66,47.49,3.09,0.46,0.05,0.18
Anzick-1,0.02,0.01,0.03,2.6,0.54,0,0,0.01,0.04,1.27,4.03,90.98,0.47,0,0
Armenian,4.05,2.34,1.06,2.01,8.8,37.25,35.14,5.12,3.39,0.17,0.06,0.06,0.33,0.17,0.06
Ashkenazi,9.89,10.7,6.74,5.17,14.82,13.05,26.61,8.07,1.2,0.6,0.58,0.32,0.24,1.63,0.39
Assyrian,2.59,2.38,1.97,2,7.53,30.95,39.98,7.81,3.61,0.31,0.2,0.17,0.12,0.33,0.05
Austrian,20.59,23.17,18.31,13.24,8.86,6.16,7.21,1.25,0.73,0.03,0.12,0.04,0.13,0.11,0.04
Austroasiatic_Ho,0.01,0.01,0.01,0.01,0.02,0,0,0.01,68.94,25.12,0.61,0.19,4.26,0.36,0.45
Azeri,3.28,5.34,1.79,5.86,3.62,31.5,29.44,5.36,7.9,1.89,2.65,0.39,0.39,0.35,0.25
Balkar,5.21,5.55,6.31,7.52,4.29,46.93,10.93,1.38,2.66,2.69,4.98,0.86,0.39,0.14,0.16
Balochi,2.99,1.37,1.23,10.31,0.18,34.33,14.62,1.86,31.78,0,0.09,0.36,0.02,0.23,0.63
Bangladeshi,1.79,1.86,1.37,6.22,0.7,11.94,1.13,0.5,60.79,8.83,2.2,0.72,1.56,0.1,0.3
Bantu_N.E.,0.06,0.06,0.07,0.08,0.08,0.09,0.15,0.34,0.14,0.22,0.13,0.17,0.12,23.89,74.4
Bantu_S.E.,0.02,0.02,0.01,0.03,0.01,0.03,0.02,0.03,0.06,0.07,0.06,0.03,0.09,13.6,85.92
Bantu_S.W.,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.06,0.06,0.06,0.06,0.04,0.14,11.83,87.51
Bedouin,1.51,2.9,1.66,1.2,7.74,13.01,38.46,21.03,1.61,0.2,0.41,0.28,0.23,6.95,2.82
Belorussian,19.33,17.63,32.02,21.25,3.39,2.48,1.8,0.89,0.48,0.08,0.21,0.1,0.17,0.1,0.06
Biaka_Pygmy,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.08,18.63,81.25
Brahmin_UP,4.96,4.47,2.91,8.83,0.38,15.62,0.9,0.18,58.12,0.56,0.54,1.54,0.61,0.17,0.21
Brahui,2.47,0.65,0.77,9.27,0.06,34.45,15.33,1.97,32.42,0.04,0.26,0.42,0.15,0.6,1.13
Bulgarian,12.88,15.88,16.38,9.34,13.76,11.88,16.27,2.18,0.26,0.17,0.14,0.3,0.28,0.18,0.11
Burusho,2.29,0.7,1.31,14.77,0.04,27.77,1.04,0.09,39.24,4.45,5.4,2.04,0.27,0.19,0.4
Buryat,0.66,0.85,0.98,2.99,0.91,3.22,1.14,0.87,1.25,27.19,57.88,1.54,0.31,0.15,0.06
Cambodian,0.23,0.29,0.53,0.28,0.36,0.29,0.29,0.29,14.32,77.57,1.08,0.43,3.17,0.48,0.39
Central_Greek,10.06,13.12,7.23,3.39,17.29,15.74,26.95,5.24,0.16,0.21,0.04,0.12,0.43,0.02,0
Chamar,0.82,1.4,1.5,1.9,0.89,5.39,0.74,0.75,80.17,1.82,1.53,1.17,1.35,0.37,0.2
Chechen,8.87,6.06,6.57,10.36,1.59,47.63,8.83,1.46,4.25,0.77,1.19,1.22,0.76,0.3,0.13
Chenchu,0.88,1.05,1.05,0.63,1.55,7.33,1.23,0.6,74.08,6.26,1.93,0.85,1.78,0.42,0.35
Chukchi,0.08,0.04,0.07,4.43,0,0.03,0,0,1.07,9.5,59.87,24.26,0.62,0,0.02
Chuvash,13.39,5.79,13.51,36.15,0.88,3.35,0.88,0.53,1.97,2.49,17.74,2.43,0.44,0.19,0.26
Croatian,18.41,17.52,22.74,15.17,10.17,6.69,6.25,1.29,0.72,0.02,0.02,0.44,0.24,0.16,0.16
Cyprian,2.08,7.08,3.11,1.81,16,19.6,40.16,8.38,0.52,0.05,0.09,0.01,0.28,0.49,0.35
Dai,0.17,0.17,0.29,0.29,0.12,0.2,0.15,0.07,2.7,91.41,2.02,0.57,1.47,0.17,0.2
Danish,36.57,27.76,11.59,10.71,5.99,3.34,2.04,0.29,1.03,0.08,0.09,0.19,0.07,0.19,0.07
Dharkar,2,2.29,2.57,3.97,1.03,11.97,1.37,0.26,68.92,1.61,1.55,0.87,0.78,0.57,0.24
Dolgan,2.07,0.84,3.13,3.92,0.56,0.57,0.22,0.21,1.65,9.47,74.92,1.43,0.4,0.38,0.22
Dusadh,1.44,0.68,0.87,2.13,1.25,9.12,2.16,1.06,74.95,2.78,0.6,0.59,1.54,0.31,0.52
East_Finnish,25.2,15.64,21.87,23.75,2.22,0.76,0.19,0.2,1.02,0.66,7.08,0.73,0.56,0.03,0.08
East_German,26.64,21.71,18.07,13.28,10.36,5.16,2.8,1.02,0.57,0.02,0.05,0.15,0.02,0.09,0.04
East_Greenlander,0.18,0.02,0.12,4.19,0,0.04,0.01,0.02,1.46,8.57,43.23,41.76,0.33,0.02,0.05
East_Sicilian,9.75,13.27,6.39,2.26,17.36,14.43,26.95,6.76,0.52,0.03,0,0.06,0.25,1.6,0.36
Egyptian,0.9,3.78,0.69,0.28,9.89,7.14,39.22,18.38,0.24,0.13,0.2,0.06,0.16,12.85,6.09
Erzya,16.81,10.25,27.66,29.07,2.72,3.63,1.14,0.34,1.23,0.51,5.13,1.22,0.03,0.13,0.13
Estonian,26.23,16.33,30.12,20.68,1.83,0.56,0.01,0,0.53,0.02,2.13,1.09,0.46,0,0
Estonian_Polish,18.34,17.71,31.21,22.5,4.43,2.06,0.85,1.02,0.75,0.1,0.36,0.35,0.16,0.13,0.03
Ethiopian_Amhara,0.08,0.51,0.09,0.04,1.27,0.34,18.47,24.18,0.08,0.11,0.03,0.11,0.16,50.19,4.33
Ethiopian_Anuak,0,0,0,0,0,0,0,0,0.01,0.02,0.01,0,0.02,53.49,46.45
Ethiopian_Ari_cultivator,0.44,0.32,0.32,0.4,0.37,1.19,0.72,5.18,1.3,0.33,0.4,0.23,0.4,78.17,10.23
Ethiopian_Gumuz,0,0,0,0,0,0,0,0.01,0.1,0.14,0.09,0.04,0.18,67.39,32.05
Ethiopian_Oromo,0.08,0.32,0.15,0.04,1.21,0.34,12.56,18.22,0.1,0.58,0.02,0.07,0.12,58.21,7.98
Ethiopian_Tigray,0.09,0.49,0.15,0.04,2.25,0.24,20.45,24.26,0.03,0.01,0.02,0.01,0.21,48.97,2.79
Ethiopian_Wolayta,0.4,0.65,0.13,0.11,0.88,0.44,9.49,16.73,0.27,0.39,0.25,0.18,0.16,62.8,7.12
Evenki,0.43,0.65,1.79,1.46,0.29,0.45,0.29,0.27,0.75,12.14,78.75,1.46,1,0.13,0.14
Evens,0.66,0.45,0.65,1,0.66,0.53,0.41,0.32,0.72,10.43,80.67,2.5,0.65,0.23,0.12
Finnish,29.36,17.42,21.95,18.78,2.49,1.06,0.36,0.14,0.57,0.9,5.3,0.91,0.52,0.14,0.1
French,28.25,26.05,8.22,6.32,15.53,4.66,6.72,2.83,0.71,0.09,0.09,0.2,0.15,0.11,0.07
French_Basque,16.85,45.4,4.79,2.82,25.04,0.83,2.74,0.73,0.13,0.28,0.04,0.03,0.1,0.17,0.04
Georgian,4.68,3.9,3.69,3.27,4.64,53.84,19.63,3.24,2.12,0.16,0.23,0.34,0.08,0.13,0.05
Georgian_Jewish,2.27,2.67,1.63,2.91,6.95,35.22,36.66,8.06,2.77,0.17,0.1,0.16,0.11,0.29,0.04
Greek,8.81,15.49,11.7,6.91,17.16,12.72,23.47,2.73,0.41,0.05,0.01,0.03,0.36,0.11,0.02
Greek_Thessaly,14,11.56,11.5,5.16,17.47,12.02,22.23,4.01,1.2,0.03,0.08,0.42,0.22,0.08,0.01
Gujarati,4.7,1.61,2.04,8.13,0.23,18.18,1.61,0.28,60.87,0.43,0.9,0.31,0.37,0.12,0.22
Hadza,0.09,0.06,0.09,0.1,0.02,0.1,0.04,0.09,1.18,0.2,0.26,0.22,0.62,62.24,34.69
