Population,Amerindian,Arabian,Armenian,Basque,Central_African,Central_Euro,East_African,East_Asian,East_Balkan,East_Central_Asian,East_Central_Euro,East_Med,Eastern_Euro,Fennoscandian,French,Iberian,IndoChinese,Italian,Malayan,Near_Eastern,North_African,North_Atlantic,North_Caucasian,North_Sea,Northeast_African,Oceanian,Omotic,Pygmy,Siberian,South_Asian,South_Central_Asian,South_Chinese,VolgaUral,West_African,West_Caucasian,WestMed
Samoa,0.263,0,0,0,0,0,0,4.663,0.333,0.26,0.297,0,0,0,0,0,10.683,0,43.013,0,0,0,0,0,0,20.04,0,0,0.093,0,0,20.167,0,0,0,0
Maori,0.299,0.019,0,0.401,0,0.209,0,7.101,0,0,0.551,0.022,0.239,0.401,0.081,0.54,6.345,0.306,43.551,0,0,2.054,0,0.871,0,21.79,0.076,0.004,0.023,0,0,14.686,0.079,0.024,0,0.311
Moluccan,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,7.18,0,41.05,0,0,0,0,0,0,38.67,0,0.25,0,0,0,10.33,0,0,0,0
Melanesian,0.095,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,3.935,0,12.91,0,0,0,0,0,0,76.84,0.03,0.025,0,0.975,0,4.465,0,0,0,0
Australia_Abo,0,0,0,0,0,0,0,0.28,0,1.78,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,74.17,1.8,1.72,3.05,11.13,0,0,0,0,0,0
Sa_Khoisan,0.052,0,0,0,0,0,7.438,0.017,0,0.195,0,0,0,0.015,0,0,0.202,0,0.02,0,0,0,0,0,0,0.198,15.34,71.52,0.092,0,0,0,0,4.858,0.023,0
Luhya_Kenya,0,0,0,0,18.915,0,23.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.225,8.155,0,0,0,0,0,48.33,0,0.265
SA_Bantu,0.02,0,0,0,3.463333333,0,7.703333333,0,0,0.103333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.893333333,21.22,0,0,0,0.053333333,0,65.55,0,0
Biaka_Pygmy,0,0,0,0,0,0,0.606666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036666667,0,89.49666667,0,0.05,0,0,0,9.783333333,0,0
Yoruba_Nigeria,0,0,0,0,2.343333333,0,1.653333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,91.66,0,0
Mandenka_West_Africa,0,0,0,0,0.933333333,0,0.323333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.113333333,0,0,0,0.34,0,1.196666667,0.196666667,0,0,0,0,0,95.85,0,0.026666667
Somali,0.032307692,0.287692308,0,0,4.775384615,0,18.66923077,0,0,0,0.003846154,0.145384615,0.011538462,0,0.019230769,0,0.023846154,0,0.007692308,0.179230769,2.022307692,0,0,0,73.18230769,0.143846154,0.063076923,0,0.099230769,0,0,0.038461539,0.014615385,0.196923077,0.017692308,0.063846154
Ethiopia_Omotic,0.27,0,0,0,13.56,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,68.15,13.88,0,0,0,0.08,0,3.38,0,0
Ethiopia_Amhara,0,9.3625,0.3775,0,1.12,0,11.15125,0,0,0,0,2.14875,0,0,0,0,0,0,0,5.62,4.11625,0,0,0,62.035,0.06875,3.74875,0.0575,0,0,0,0.0325,0,0.06875,0,0.09375
