Population,Amerindian,Ancestor,Steppe,Indian,Arctic,Australian,Caucasian,EastAfrican,NorthEastEuropean,NearEast,Neolithic,NorthAfrican,Oceanic,Siberian,SouthEastAsian,Subsaharian
Afroamerican,0.87,3.41,3.16,1.34,0.32,0.24,2.31,3.25,4.14,0.95,4.85,1.38,0.52,0.31,0.48,72.47
Abhkasian,0.39,0.44,16.18,5.76,0.26,0.4,59.79,0.01,1.88,2.76,6.72,0.24,0.21,1.5,0.77,2.69
Abkhazian,0.67,0,15.92,7.61,0,0,58.88,0,0.9,1.99,8.42,2.11,0.41,1.91,1.18,0
Abkhazian_Lykhny,0.41,0,17.38,7.74,0,0,56.2,0.6,3.55,2.38,8.34,0,0.06,2.36,0.79,0.19
Adjar,0.31,0.15,13.37,8.37,0.27,0.31,55.92,0.31,2.07,5.68,9.85,1.37,0.51,1.07,0.23,0.21
Adygei,0.69,0.19,20.76,4.1,0.1,0.35,56.73,0.08,4.84,0.48,5.9,0.12,0.37,3.17,1.47,0.65
Aeta,0.7,1.99,0,12.81,0.71,7.88,0,0.85,2.59,0.48,1.44,1.01,8.91,2.61,56.81,1.21
Afa,0.41,0.25,0,0.34,0.49,0.35,10.96,45,0.98,21.96,2.38,7.69,0.19,0.37,0.61,8.01
Pashtun,1.42,0.33,11.11,34.27,0.54,0,33.96,0.87,6.81,1.46,4.82,0.66,0.21,2.33,1.21,0
Albanian,0.3,0.15,12.98,0,0.41,0.28,36.05,0.28,14.4,3.54,27.32,2.42,0.44,0.81,0.52,0.11
Algerian,0.2,0.07,2.87,0,0.34,0.64,14.56,5.58,3.58,11.92,14.97,35.45,0.4,0.56,0.36,8.49
Jew,0.37,0.49,8.89,0.92,0.08,0.71,37.32,1.38,4.06,11.23,23.97,8.32,0.63,0.09,0.24,1.31
Altaian,2.11,0.21,9.64,4.12,4.9,0.44,5.58,0.25,5.54,0.47,2.35,0.3,0.2,40.26,23.45,0.19
